case_id,lambda,omega_log_K,core_hours
lam001,3.8,1650,500
lam002,1.2,221.3,500
lam003,0.8,275.4,500
lam004,1.1,241.6,500
lam005,0.72,56.86,500
lam007,1.4,506,500
lam016,0.57,347.4,500
lam017,0.59,447.2,500
lam018,0.92,276.8,500
lam019,1,250.2,500
lam020,1.952,1188.91,500
lam021,1.596,1181.38,500
lam022,1.05,497.73,500
lam023,1.24,475.57,500
lam024,1.65,402.84,500
lam025,0.95,482.84,500
lam026,1.139,859,500
lam029,1.4,506,500
lam030,0.556,179.7,500
lam032,0.732,326.54,500
lam033,0.231,299.65,500
lam036,0.86,404.5,500
lam037,1.11,327.8,500
lam038,0.75,470.6,500
lam006,0.554,131.4,500
lam008,1.78,72.6,500
lam009,1.7,230.2,500
lam010,0.65,223.47,500
lam011,0.65,57.61,500
lam012,0.87,413.8,500
lam013,0.46,559.6,500
lam014,0.6,297.8,500
lam015,0.4,324.6,500
lam027,0.54,62.62,500
lam028,0.65,60.97,500
lam031,1.93,169.78,500
lam034,0.402,305.76,500
lam035,0.92,314.8,500
