case_id,paper_id,material,condition,lambda_ref,omega_log_K,theta_D_K,omega2_K,mu_star,expected_method,cost_tier_coreh
lam039,812489714396299266,"Mg2Ir3Si (Ir Kagome network, P6_3/mmc)",Mg2Ir3Si with SOC,0.93,120.15,,,0.11,DFPT+SOC,1e3-1e4
lam040,812489714396299266,"Mg2Ir3Si (Ir Kagome network, P6_3/mmc)",Mg2Ir3Si without SOC,1.05,107.17,,,0.11,DFPT+SOC,1e3-1e4
lam041,812552562543689728,"ScRuSi and ZrRhSi (orthorhombic TiNiSi-type, Pnma)",ScRuSi,0.54,227.12,,,0.11,DFPT+SOC,1e3-1e4
lam042,812552562543689728,"ScRuSi and ZrRhSi (orthorhombic TiNiSi-type, Pnma)",ZrRhSi,0.84,213.35,,,0.11,DFPT+SOC,1e3-1e4
lam043,812601801109929984,"Filled skutterudites MPt4Ge12 (M = Ba, Sr, Th)",BaPt4Ge12 with SOI,0.74,133.68,,,0.1,DFPT+SOC,1e3-1e4
lam044,812601801109929984,"Filled skutterudites MPt4Ge12 (M = Ba, Sr, Th)",SrPt4Ge12 with SOI,0.79,119.45,,,0.1,DFPT+SOC,1e3-1e4
lam045,812601801109929984,"Filled skutterudites MPt4Ge12 (M = Ba, Sr, Th)",ThPt4Ge12 with SOI,0.69,132.51,,,0.1,DFPT+SOC,1e3-1e4
lam046,812798558582341635,"filled skutterudites YRu4P12, YOs4P12, LaOs4P12, LaOs4As12",LaOs4As12,0.59,221.81,,,0.13,DFPT+SOC,1e3-1e4
lam047,812798558582341635,"filled skutterudites YRu4P12, YOs4P12, LaOs4P12, LaOs4As12",LaOs4P12,0.49,293.96,,,0.13,DFPT+SOC,1e3-1e4
lam048,812798558582341635,"filled skutterudites YRu4P12, YOs4P12, LaOs4P12, LaOs4As12",YOs4P12,0.55,235.41,,,0.13,DFPT+SOC,1e3-1e4
lam049,812798558582341635,"filled skutterudites YRu4P12, YOs4P12, LaOs4P12, LaOs4As12",YRu4P12,0.78,216.97,,,0.13,DFPT+SOC,1e3-1e4
lam050,813094079012274176,"CaIr2 and CaRh2 (cubic C15 Laves phase), SOC study","CaIr2, with SOC",1.05,100.97,,,0.15,DFPT+SOC,1e3-1e4
lam051,813094079012274176,"CaIr2 and CaRh2 (cubic C15 Laves phase), SOC study","CaIr2, without SOC",1.43,79.6,,,0.15,DFPT+SOC,1e3-1e4
lam052,813094079012274176,"CaIr2 and CaRh2 (cubic C15 Laves phase), SOC study","CaRh2, with SOC",0.96,140.8,,,0.15,DFPT+SOC,1e3-1e4
lam053,813094079012274176,"CaIr2 and CaRh2 (cubic C15 Laves phase), SOC study","CaRh2, without SOC",1.17,120.2,,,0.15,DFPT+SOC,1e3-1e4
lam054,813152122194362369,"YIr2Si2 and LaIr2Si2 (high-temperature polymorphs, 122-type)",LaIr2Si2 (HTP P4/nmm),0.56,159.2,,,0.13,DFPT+SOC,1e3-1e4
lam055,813152122194362369,"YIr2Si2 and LaIr2Si2 (high-temperature polymorphs, 122-type)",YIr2Si2 (HTP P4/nmm),0.61,145.5,,,0.13,DFPT+SOC,1e3-1e4
lam056,813228976360128513,boronitride superconductors LaNiBN and LaPtBN,LaNiBN,0.52,376,,184,0.12,DFPT+SOC,1e3-1e4
lam057,813228976360128513,boronitride superconductors LaNiBN and LaPtBN,LaPtBN,0.56,294,,162,0.1,DFPT+SOC,1e3-1e4
lam058,813231154529304578,"SrPt3P (antiperovskite; series APt3P A=Sr,Ca,La)","SrPt3P, mu*=0.10",1.06,81.35,,,0.1,DFPT+SOC,1e3-1e4
lam059,814537145015336960,SrAuSi3 (I4mm) and SrAu2Si2 (I4/mmm),(single),0.47,235.81,,,0.12,DFPT+SOC,1e3-1e4
lam060,814602831179808769,"RM2B2C borocarbides: LaPt2B2C, YPd2B2C, YPt2B2C, LuNi2B2C (I4/mmm)",LaPt2B2C,0.78,235,,,0.1,DFPT+SOC,1e3-1e4
lam061,814602831179808769,"RM2B2C borocarbides: LaPt2B2C, YPd2B2C, YPt2B2C, LuNi2B2C (I4/mmm)",LuNi2B2C,0.83,315,,,0.1,DFPT+SOC,1e3-1e4
lam062,814602831179808769,"RM2B2C borocarbides: LaPt2B2C, YPd2B2C, YPt2B2C, LuNi2B2C (I4/mmm)",YPd2B2C,1.48,182,,,0.1,DFPT+SOC,1e3-1e4
lam063,814602831179808769,"RM2B2C borocarbides: LaPt2B2C, YPd2B2C, YPt2B2C, LuNi2B2C (I4/mmm)",YPt2B2C,0.96,175,,,0.1,DFPT+SOC,1e3-1e4
lam064,814617345912733702,Ca3Ir4Ge4 (noncentrosymmetric superconductor),(single),0.51,158.3,,,0.11,DFPT+SOC,1e3-1e4
lam065,814721288294629376,"SrPtAs (hexagonal pnictide, P6/mmm)",(single),0.78,105.5,,,0.2,DFPT+SOC,1e3-1e4
lam066,817398434037235713,"Bi4I4 high-pressure phases (epsilon-P31c, zeta-P4/mmm)","epsilon-Bi4I4 (P31c), 15 GPa",0.67,86.6,,,0.1,DFPT+SOC,1e3-1e4
lam067,817398434037235713,"Bi4I4 high-pressure phases (epsilon-P31c, zeta-P4/mmm)","zeta-Bi4I4 (P4/mmm), 18 GPa",0.72,97.5,,,0.1,DFPT+SOC,1e3-1e4
lam068,867747199868470067,"OsN2 (marcasite-like Pnnm), N-N covalent-bond-mediated SC",OsN2 0.5 holes/cell doped (Os0.75Re0.25N2),0.49,310,,,0.1,DFPT+SOC,1e3-1e4
lam069,867747957653373759,LaO0.5F0.5BiS2 (layered BiS2 superconductor),(single),0.85,,260,,0.1,DFPT+SOC,1e3-1e4
lam070,867756414980849698,"Zr2Ir (body-centered tetragonal, I4/mcm)",Zr2Ir with SOC,0.93,122,,,0.1,DFPT+SOC,1e3-1e4
