case_id,mode,structure_file,condition,mu_star
lam040,build-from-spec,,Mg2Ir3Si without SOC,0.11
lam043,build-from-spec,,BaPt4Ge12 with SOI,0.1
lam045,build-from-spec,,ThPt4Ge12 with SOI,0.1
lam046,build-from-spec,,LaOs4As12,0.13
lam049,build-from-spec,,YRu4P12,0.13
lam054,build-from-spec,,LaIr2Si2 (HTP P4/nmm),0.13
lam057,build-from-spec,,LaPtBN,0.1
lam058,build-from-spec,,"SrPt3P, mu*=0.10",0.1
lam062,build-from-spec,,YPd2B2C,0.1
lam063,build-from-spec,,YPt2B2C,0.1
lam065,build-from-spec,,(single),0.2
lam066,build-from-spec,,"epsilon-Bi4I4 (P31c), 15 GPa",0.1
lam069,build-from-spec,,(single),0.1
lam076,build-from-spec,,(single),0.16
lam042,structure-ready,ZrRhSi__lam042.scf.in,ZrRhSi,0.11
lam047,structure-ready,LaOs4P12.scf.in,LaOs4P12,0.13
lam051,structure-ready,CaIr2.scf.in,"CaIr2, without SOC",0.15
lam052,structure-ready,CaRh2.scf.in,"CaRh2, with SOC",0.15
lam056,structure-ready,LaNiBN.scf.in,LaNiBN,0.12
lam059,structure-ready,SrAuSi3__lam059.scf.in,(single),0.12
lam068,structure-ready,OsN2.scf.in,OsN2 0.5 holes/cell doped (Os0.75Re0.25N2),0.1
lam070,structure-ready,Zr2Ir.scf.in,Zr2Ir with SOC,0.1
lam072,structure-ready,Bi3Ni.scf.in,"Bi3Ni, SOC DOS (lambda from N_expt/N_calc)",0.13
lam073,structure-ready,Bi3Ni.scf.in,"Bi3Ni, non-SOC DOS (lambda from N_expt/N_calc)",0.13
lam075,structure-ready,Ta4CoSi.scf.in,Ta4CoSi,0.13
