case_id,lambda,omega_log_K,core_hours
lam077,0.62,329.59,500
lam079,0.68,1372.79,500
lam080,0.51,849.56,500
lam082,3.04,927.52,500
lam083,2.05,1002.21,500
lam085,0.43,429.14,500
lam086,0.615,449.5,500
lam087,0.788,305.3,500
lam088,0.816,284,500
lam089,0.494,551.6,500
lam090,0.789,282.1,500
lam091,0.701,511.7,500
lam092,2.17,1870.04,500
lam093,2.01,2015.98,500
lam094,1.89,2106.38,500
lam095,1.68,2238.58,500
lam096,0.85,1471.9,500
lam097,0.94,1200,500
lam098,1.31,291,500
lam099,2.53,1400,500
lam108,1.46,929.1,500
lam112,2.01,799,500
lam114,1.21,916,500
lam115,1.51,651,500
lam116,0.69,1386,500
lam117,0.8,146.76,500
lam118,1.478,989.9,500
lam119,1.214,1342.51,500
lam120,2.09,960.47,500
lam121,1.25,991,500
lam122,1.187,1099,500
lam123,1.188,919,500
lam124,1.18,1025,500
lam125,1.11,1189,500
lam126,0.72,1557,500
lam127,2.29,692,500
lam128,1.97,807,500
lam129,1.46,837,500
lam078,0.39,1454.86,500
lam081,1.34,1169.38,500
lam084,0.27,641.45,500
lam100,1.13,614,500
lam101,1.1,600,500
lam102,1.82,989,500
lam103,1.6,793,500
lam104,1.56,737,500
lam105,0.591,388.8,500
lam106,0.42,156.98,500
lam107,0.47,235.81,500
lam109,1.02,1027,500
lam110,0.63,1670.7,500
lam111,0.65,2170,500
lam113,0.63,1113,500
