case_id,paper_id,material,condition,lambda_ref,omega_log_K,theta_D_K,omega2_K,mu_star,expected_method,cost_tier_coreh
lam130,811115060788199424,"Nb1-bSnb (A15 Nb3Sn, off-stoichiometric)","A15 Nb1-bSnb, Sn=0.1875 (one antisite, 16-atom)",0.92,203,,,0.21,DFPT-direct,1e3-1e4
lam131,811115060788199424,"Nb1-bSnb (A15 Nb3Sn, off-stoichiometric)","A15 Nb1-bSnb, Sn=0.21875 (one antisite, 32-atom)",1.22,202,,,0.22,DFPT-direct,1e3-1e4
lam132,811115060788199424,"Nb1-bSnb (A15 Nb3Sn, off-stoichiometric)","A15 Nb3Sn, Sn=0.25 (stoichiometric)",1.85,200,,,0.24,DFPT-direct,1e3-1e4
lam133,811126087244316673,La3Ni2B2N3 (quaternary boronitride),(single),0.73,301.23,,,0.1,DFPT-direct,1e3-1e4
lam134,811679993317818370,"Ca-VI (Pnma calcium, high pressure 158-180 GPa)","Pnma Ca-VI, 172 GPa, mu*=0.10",0.934,396,,,0.1,DFPT-direct,1e3-1e4
lam135,811680235903778817,A15 V3Si,(single),1.28,215.9,,293.6,0.13,DFPT-direct,1e3-1e4
lam136,811736896852983809,MgB2 (hexagonal),MgB2,0.75,,1050,,0.094,DFPT-direct,1e3-1e4
lam137,811791191132602369,"BaSi2 (trigonal P-3m1, ambient pressure)",(single),0.33,240,,,0.1,DFPT-direct,1e3-1e4
lam138,811893892143120386,"CdCNi3 (cubic antiperovskite, Pm-3m)","CdCNi3, mu*=0.12",0.8,89.41,,,0.12,DFPT-direct,1e3-1e4
lam139,811903513046024196,"Hole-doped NaBC (NaB1.1C0.9), MgB2-like borocarbide",(single),0.73,903,,,0.1,DFPT-direct,1e3-1e4
lam140,811906093474119682,LaNiPO (layered Ni oxypnictide),(single),0.58,162.7,,,0.12,DFPT-direct,1e3-1e4
lam141,811968721915478016,rock-salt YS (yttrium sulfide),"YS rock-salt, mu*=0.10",0.52,169,,,0.1,DFPT-direct,1e3-1e4
lam142,811998282417963010,Layered LiB (MS1 structure),"MS1-LiB (stoichiometric), mu*=0.10",0.62,626.6,,,0.1,DFPT-direct,1e3-1e4
lam143,812031038111875072,Nb3Sn (cubic A15),A15 Nb3Sn (mu*=0.10),1.51,,216.5,,0.1,DFPT-direct,1e3-1e4
lam144,812119359072763904,MgB2 under biaxial strain / hydrostatic pressure,MgB2 unstrained (bulk reference),0.94,834.5,,,0.15,DFPT-direct,1e3-1e4
lam145,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","BCC tellurium, V/V0=0.90 (~54 GPa)",0.698,157.6,,,0.12,DFPT-direct,1e3-1e4
lam146,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","BCC tellurium, V/V0=0.95 (~46 GPa)",0.822,142.35,,,0.12,DFPT-direct,1e3-1e4
lam147,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","BCC tellurium, V/V0=1.0 (~38 GPa)",0.979,126.21,,,0.12,DFPT-direct,1e3-1e4
lam148,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","FCC iodine, 103 GPa",0.375,207.7,,,0.1,DFPT-direct,1e3-1e4
lam149,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","FCC iodine, 64 GPa",0.546,153.5,,,0.1,DFPT-direct,1e3-1e4
lam150,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","FCC iodine, 81 GPa",0.43,186.3,,,0.1,DFPT-direct,1e3-1e4
lam151,812125933258407937,bulk C6Ca (CaC6 graphite intercalation compound),(single),0.83,286.6,,,0.14,DFPT-direct,1e3-1e4
lam152,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,",HfN (B1),0.67,323,,,0.115,DFPT-direct,1e3-1e4
