case_id,lambda,omega_log_K,core_hours
lam139,0.73,903,500
lam142,0.62,626.6,500
lam175,0.93,134,500
lam178,3,102.2,500
lam180,1.239,907,500
lam181,1.242,951,500
lam198,3,327,500
lam199,0.68,565.1,500
lam204,0.988,662,500
lam205,1.92,123,500
lam218,1.09,906.3,500
lam219,1.2,244,500
lam130,0.92,203,500
lam131,1.22,202,500
lam133,0.73,301.23,500
lam134,0.934,396,500
lam136,0.75,1050,500
lam137,0.33,240,500
lam141,0.52,169,500
lam143,1.51,216.5,500
lam145,0.698,157.6,500
lam146,0.822,142.35,500
lam148,0.375,207.7,500
lam149,0.546,153.5,500
lam151,0.83,286.6,500
lam152,0.67,323,500
lam154,0.78,272,500
lam155,0.59,470,500
lam157,0.66,402,500
lam158,0.74,86.3,500
lam160,0.45,394.97,500
lam161,0.49,169.5,500
lam163,0.36,114.9,500
lam164,0.32,118.4,500
lam166,1.55,61.3,500
lam167,1.29,69.5,500
lam170,0.42,135.9,500
lam171,0.77,156,500
lam173,1.1,100,500
lam174,0.79,132,500
lam177,0.68,216.27,500
lam182,0.96,76.1,500
lam184,0.55,300.12,500
lam185,1.26,203,500
lam187,1.53,530.2,500
lam188,0.818,194.1,500
lam190,0.658,193.76,500
lam191,0.7,139.9,500
lam193,0.73,139.2,500
lam194,0.47,186,500
lam196,0.6,160,500
lam200,0.427,452,500
lam202,0.684,546,500
lam206,0.98,269,500
lam208,1.314,199.5,500
lam209,1.266,122,500
lam211,0.67,151.8,500
lam212,0.956,85.9,500
lam214,1.66,610,500
lam215,1.38,1580,500
lam220,0.77,225,500
lam221,0.38,260.4,500
lam223,0.83,286.6,500
lam224,0.845,285.5,500
lam226,0.65,271.5,500
lam227,0.54,143,500
lam230,0.52,297.8,500
lam231,0.92,249,500
lam233,0.57,306,500
lam234,0.47,398,500
lam236,0.68,262,500
lam138,0.8,89.41,500
lam169,0.75,901,500
lam179,1.186,898,500
lam197,3,102.2,500
lam203,1.015,671,500
lam217,0.81,964.2,500
lam229,0.56,294,500
lam132,1.85,200,500
lam135,1.28,215.9,500
lam140,0.58,162.7,500
lam144,0.94,834.5,500
lam147,0.979,126.21,500
lam150,0.43,186.3,500
lam153,0.87,340,500
lam156,0.78,327,500
lam159,0.55,347.32,500
lam162,0.59,140.6,500
lam165,0.38,111.4,500
lam168,0.53,306,500
lam172,0.42,190,500
lam176,0.5,187,500
lam183,0.54,228.26,500
lam186,1.01,652,500
lam189,0.653,224.3,500
lam192,0.7,134,500
lam195,0.43,200,500
lam201,0.627,521,500
lam207,1.426,94.9,500
lam210,1.016,84.5,500
lam213,1.387,93,500
lam216,1.01,206.8,500
lam222,0.45,239.4,500
lam225,0.54,329.3,500
lam228,0.52,376,500
lam232,0.36,285,500
lam235,0.46,289,500
