case_id,paper_id,material,condition,lambda_ref,omega_log_K,theta_D_K,omega2_K,mu_star,expected_method,cost_tier_coreh
lam237,1056817631564136450,"Transition-metal trioxides XO3 (X=Ru,Re,Os,Ir,Pt,Au) R-3c under pressu","OsO3, R-3c, 30 GPa, no SOC",1.501,291,,,0.1,DFPT-direct,1e2-1e3
lam238,1056817631564136450,"Transition-metal trioxides XO3 (X=Ru,Re,Os,Ir,Pt,Au) R-3c under pressu","PtO3, R-3c, 30 GPa, no SOC",0.498,394,,,0.1,DFPT-direct,1e2-1e3
lam239,1056817631564136450,"Transition-metal trioxides XO3 (X=Ru,Re,Os,Ir,Pt,Au) R-3c under pressu","ReO3, R-3c, 30 GPa, no SOC",0.95,347,,,0.1,DFPT-direct,1e2-1e3
lam240,1056817631564136450,"Transition-metal trioxides XO3 (X=Ru,Re,Os,Ir,Pt,Au) R-3c under pressu","ReO3, R-3c, 30 GPa, with SOC",0.945,342,,,0.13,DFPT-direct,1e2-1e3
lam241,1056817631564136450,"Transition-metal trioxides XO3 (X=Ru,Re,Os,Ir,Pt,Au) R-3c under pressu","RuO3, R-3c, 30 GPa, no SOC",2.542,168,,,0.1,DFPT-direct,1e2-1e3
lam242,811048440174739456,bcc tantalum (Ta),(single),0.877,150.8,,,0.13,DFPT-direct,1e2-1e3
lam243,811709692383330305,fcc lithium under high pressure,"fcc Li, 14 GPa",0.49,293,,376,0.13,DFPT-direct,1e2-1e3
lam244,811709692383330305,fcc lithium under high pressure,"fcc Li, 20 GPa",0.66,288,,373,0.13,DFPT-direct,1e2-1e3
lam245,811709692383330305,fcc lithium under high pressure,"fcc Li, 30 GPa",0.83,274,,360,0.13,DFPT-direct,1e2-1e3
lam246,811709692383330305,fcc lithium under high pressure,"fcc Li, 36 GPa",1.1,255,,341,0.13,DFPT-direct,1e2-1e3
lam247,811709692383330305,fcc lithium under high pressure,"fcc Li, 8 GPa",0.39,308,,378,0.13,DFPT-direct,1e2-1e3
lam248,811795868670754816,elemental lanthanum (fcc and dhcp phases),dhcp La,0.97,82,,91,0.12,DFPT-direct,1e2-1e3
lam249,811795868670754816,elemental lanthanum (fcc and dhcp phases),fcc La,1.06,85,,93,0.12,DFPT-direct,1e2-1e3
lam250,812322173833183232,hcp Li at 247 kbar (high pressure),(single),0.806,,265,187.4,0.1,DFPT-direct,1e2-1e3
lam251,812383700997111808,non-magnetic hcp iron (Fe) at 100 GPa (also bcc Fe lattice dynamics),"nm-hcp Fe, 100 GPa",0.33,450,,,0.1,DFPT-direct,1e2-1e3
lam252,812446916401954817,"Amorphous superconductors (a-PbCu, a-Mo, a-Nb, etc.) - Eliashberg func",rock-salt SnAs,0.64,155,,,0.13,DFPT-direct,1e2-1e3
lam253,812507119646408706,"A-15 X3Y compounds (X=V,Cr,Mo; Y=Os,Ir,Pt) - focus Mo3Os, Mo3Pt, Mo3Ir",Mo3Os (A-15),1.51,130.9,,,0.15,DFPT-direct,1e2-1e3
lam254,812549822006427649,Lanthanum at megabar pressures (R-3m and Fmmm distorted fcc),La Fmmm distorted fcc 130 GPa,0.69,288,,,0.1,DFPT-direct,1e2-1e3
lam255,812549822006427649,Lanthanum at megabar pressures (R-3m and Fmmm distorted fcc),La R-3m slightly distorted fcc ~50 GPa,1.07,113,,,0.1,DFPT-direct,1e2-1e3
lam256,812654281252405248,"doped C60 fullerides A3C60 (alkali-doped), plus hole-doped case","A3C60, a=14.1 Angstrom",0.49,1251.7,,,0.15,DFPT-direct,1e2-1e3
lam257,812654281252405248,"doped C60 fullerides A3C60 (alkali-doped), plus hole-doped case","A3C60, a=14.4 Angstrom",0.77,1251.7,,,0.15,DFPT-direct,1e2-1e3
lam258,812654281252405248,"doped C60 fullerides A3C60 (alkali-doped), plus hole-doped case","A3C60, a=14.6 Angstrom",0.83,1251.7,,,0.15,DFPT-direct,1e2-1e3
lam259,812654281252405248,"doped C60 fullerides A3C60 (alkali-doped), plus hole-doped case","A3C60, two-hole doped hu band, a=14.1 Angstrom",0.85,1251.7,,,0.15,DFPT-direct,1e2-1e3
lam260,812737475888807939,"Silicon high-pressure metallic phases (simple-hexagonal sh, beta-Sn)",Si simple-hexagonal (sh) 12.7 GPa,0.4,,623,,0.06,DFPT-direct,1e2-1e3
