case_id,lambda,omega_log_K,core_hours
lam257,0.77,1251.7,500
lam258,0.83,1251.7,500
lam265,0.212,494,500
lam269,0.9,812.5,500
lam271,0.86,614.4,500
lam272,0.76,651.6,500
lam237,1.501,291,500
lam238,0.498,394,500
lam240,0.945,342,500
lam241,2.542,168,500
lam243,0.49,293,500
lam244,0.66,288,500
lam246,1.1,255,500
lam247,0.39,308,500
lam249,1.06,85,500
lam250,0.806,265,500
lam252,0.64,155,500
lam253,1.51,130.9,500
lam255,1.07,113,500
lam260,0.4,623,500
lam262,0.676,469,500
lam263,0.76,439.1,500
lam266,0.294,494,500
lam267,0.75,145.05,500
lam273,0.56,545.3,500
lam275,1.11,264,500
lam256,0.49,1251.7,500
lam259,0.85,1251.7,500
lam270,0.82,680.9,500
lam274,0.79,261,500
lam239,0.95,347,500
lam242,0.877,150.8,500
lam245,0.83,274,500
lam248,0.97,82,500
lam251,0.33,450,500
lam254,0.69,288,500
lam261,0.795,418,500
lam264,0.53,560.1,500
lam268,0.57,299.2,500
lam276,1.12,367,500
