group,material,lambda_computed,calc_method,lambda_experimental,exp_method,agreement,notes,lkm_paper_ids
weak-corr,Al,0.44,linear-response LMTO,0.42-0.43,tunneling + specific-heat,good,,320901993621094400;812692917033369601
weak-corr,Pb,1.56-1.68,DFPT (SOC required),1.55,tunneling MR-inversion,good,SOC raises 1.08->1.56,811786452621852672;320901993621094400;867757225026781930
weak-corr,In,0.882,ab-initio a2F,0.9+-0.1,tunneling + specific-heat combined,good,,813324336227155968;867761805064143602
weak-corr,Hg,1.57,DFPT+Wannier,~1.6,tunneling + specific-heat,good,omega_log also matches (27.3 vs ~29 K),867748261803328197
weak-corr,Sn,0.78-0.99,pseudopotential,0.7-0.8,tunneling,good,,812776456730968064
weak-corr,Na,0.13,model-potential/OPW perturbation,0.10+-0.03,point-contact spectroscopy,good-absolute,relative ~25% because lambda tiny; e-e correction comparable,811963547251638272;812446570283794432;812434396702310401
weak-corr,K,0.12-0.16,model-potential/OPW perturbation,0.13+-0.03,point-contact spectroscopy,good-absolute,same caveat as Na,811963547251638272;812446570283794432;812434396702310401
weak-corr,Ta,0.85,linear-response LMTO,0.78-0.83,tunneling + specific-heat,good,,320901993621094400;813288528912842753
weak-corr,Nb,1.24,linear-response LMTO,1.16-1.22,specific-heat + tunneling,good,low tunneling values = surface oxidation,320901993621094400;812753086262018050
weak-corr,V,1.18,linear-response LMTO,1.17,specific-heat,good,tunneling 0.82 unreliable (oxidation); pressure-Tc rise hints small lambda_sf,320901993621094400
weak-corr,Mo,0.49,linear-response LMTO,0.45,specific-heat,good,,320901993621094400
weak-corr,Nb3Sn,1.85,DFPT,1.75,tunneling (Geerk/Wolf),good,,813240492505432065;812446410950574081
weak-corr,Nb3Ge,1.41,ab-initio anisotropic ME,1.64,tunneling (22.9 at.% Ge film),~15%,off-stoichiometric film vs stoichiometric calc,925815240883437667;812446410950574081
weak-corr,V3Si,1.255,mixed-basis DFPT,0.99-1.3,tunneling inversion,good,transport lambda=2.1 contaminated by spin fluctuations,817402391816044545;867764146089754866;811979255154999297
weak-corr,NbC,0.77,first-principles site-decomposed,0.72-0.83,Tc/theta_D McMillan inversion,good,,812369572467310593;319491590588465152
weak-corr,TaC,0.692,computed a2F,0.82,Tc/theta_D McMillan inversion,~16%,,319146207593103360;319491590588465152
weak-corr,NbN,1.21,first-principles,1.06-1.46,Tc-inversion / film tunneling,scatter,stoichiometry-sensitive samples,812369572467310593;811671466935320576
weak-corr,ZrN-optical,0.25,FP-LMTO linear-response,0.18,tunneling MR-inversion,~39%,optical-mode partial lambda only; inversion limits cited,319630854496190464;811914658750398465
weak-corr,MgB2,0.80,DFPT,0.62-0.9,specific-heat + pi-band tunneling,good,multiband; compare per-band,812589704175157251;812295938948202496;811960905083387905
near-magnetic,Pd,0.35,linear-response LMTO,0.69,specific-heat gamma,NO,lambda_spin=0.34 paramagnons (explicit); E_F on d-band-top DOS peak; no SC down to mK,320901993621094400;812746623552585730;867748489604366466;811773746577670145
near-magnetic,Pt,0.49-0.70,literature first-principles,0.91,specific-heat inversion,NO,excess attributed to spin fluctuations; no SC down to mK,(see LKM Pt claims)
near-magnetic,Sc-hcp,0.639,linear-response,1.063,specific-heat gamma,NO,lambda_sf=0.422; Stoner ~4,811944273455874049;867763539677282456
near-magnetic,MgCNi3,0.67-0.95,RMTA / linear-response,0.69-1.9,DeltaC/(gamma Tc) inversion et al.,scatter,Stoner ~5; FM spin fluctuations T_sf~13-16 K,867759857325834259;813237665708113923;867757289237381473
