case_id,paper_id,material,condition,material_type,lambda_ref,omega_log_K,theta_D_K,mu_star,expected_method,cost_tier_coreh
lam001,1056817631564136450,"Transition-metal trioxides XO3 (X=Ru,Re,Os,Ir,Pt,Au) R-3c under pressu","OsO3, R-3c, 30 GPa, no SOC",简单/元素金属,1.501,347,,,DFPT-direct,1e2-1e3
lam002,1056817631564136450,"Transition-metal trioxides XO3 (X=Ru,Re,Os,Ir,Pt,Au) R-3c under pressu","PtO3, R-3c, 30 GPa, no SOC",简单/元素金属,0.498,347,,,DFPT-direct,1e2-1e3
lam003,1056817631564136450,"Transition-metal trioxides XO3 (X=Ru,Re,Os,Ir,Pt,Au) R-3c under pressu","ReO3, R-3c, 30 GPa, no SOC",简单/元素金属,0.95,347,,,DFPT-direct,1e2-1e3
lam004,1056817631564136450,"Transition-metal trioxides XO3 (X=Ru,Re,Os,Ir,Pt,Au) R-3c under pressu","ReO3, R-3c, 30 GPa, with SOC",简单/元素金属,0.945,347,,,DFPT-direct,1e2-1e3
lam005,1056817631564136450,"Transition-metal trioxides XO3 (X=Ru,Re,Os,Ir,Pt,Au) R-3c under pressu","RuO3, R-3c, 30 GPa, no SOC",简单/元素金属,2.542,347,,,DFPT-direct,1e2-1e3
lam006,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Ba2RhH6 at 20 GPa,高压氢化物,0.62,927.52,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam007,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Ca2CoH6 at 20 GPa,高压氢化物,0.39,927.52,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam008,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Ca2IrH6 at 20 GPa,高压氢化物,0.68,927.52,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam009,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Ca2RhH6 at 20 GPa,高压氢化物,0.51,927.52,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam010,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Mg2CoH6 at 20 GPa,高压氢化物,1.34,927.52,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam011,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Mg2IrH6 at 20 GPa,高压氢化物,3.04,927.52,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam012,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Mg2RhH6 at 20 GPa,高压氢化物,2.05,927.52,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam013,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Sr2CoH6 at 20 GPa,高压氢化物,0.27,927.52,,,DFPT+anharmonic/SSCHA,1e4-1e5
