q_bohr^-1 w_Ry eps g_Ry
1.851277003529209000e-02 -1.964247388588996728e+03 3.439331054821549515e+03 -5.711132069811500900e-01
2.426611210139790337e-02 -1.143235376546533644e+03 2.001996247265229840e+03 -5.710477120565125020e-01
3.001945416750371326e-02 -7.470105462055404359e+02 1.308330723249086759e+03 -5.709646138634021373e-01
3.577279623360953009e-02 -5.260439170811422400e+02 9.214874101387829342e+02 -5.708639220604393438e-01
4.152613829971533999e-02 -3.903726230966769322e+02 6.839695129120290176e+02 -5.707456483471742281e-01
4.727948036582114988e-02 -3.011417130105905358e+02 5.277541843849469387e+02 -5.706098064604563369e-01
5.303282243192695977e-02 -2.393425299587524933e+02 4.195632214006236609e+02 -5.704564121701557466e-01
5.878616449803276967e-02 -1.947831345667208893e+02 3.415537310337720669e+02 -5.702854832742587643e-01
6.453950656413857956e-02 -1.616001449052801604e+02 2.834607683992772422e+02 -5.700970395933357970e-01
7.029284863024438945e-02 -1.362264201278754285e+02 2.390393873834291298e+02 -5.698911029643938253e-01
7.604619069635019935e-02 -1.163907532471340716e+02 2.043134160708819707e+02 -5.696676972341107037e-01
8.179953276245600924e-02 -1.005913655364286825e+02 1.766537103849522623e+02 -5.694268482514549534e-01
8.755287482856183301e-02 -8.780305558092845786e+01 1.542654638200693853e+02 -5.691685838596985958e-01
9.330621689466764290e-02 -7.730659459259616995e+01 1.358895320852050475e+02 -5.688929338878260245e-01
9.905955896077345280e-02 -6.858534432247645896e+01 1.206214434557300876e+02 -5.685999301413461327e-01
1.048129010268792627e-01 -6.126044599536423618e+01 1.077979349019663289e+02 -5.682896063925134689e-01
1.105662430929850726e-01 -5.504896941051590176e+01 9.692368427554157506e+01 -5.679619983699625285e-01
1.163195851590908825e-01 -4.973617575128388779e+01 8.762275117854072448e+01 -5.676171437477591786e-01
1.220729272251966924e-01 -4.515670538915587429e+01 7.960564270184455893e+01 -5.672550821338891991e-01
1.278262692913025023e-01 -4.118155336425818547e+01 7.264651157180088603e+01 -5.668758550581743938e-01
1.335796113574083122e-01 -3.770888351617874434e+01 6.656707457103637182e+01 -5.664795059596331450e-01
1.393329534235141498e-01 -3.465744070408909749e+01 6.122507939970339663e+01 -5.660660801732989578e-01
1.450862954896199319e-01 -3.196175402345501482e+01 5.650590701067248744e+01 -5.656356249164936623e-01
1.508396375557257418e-01 -2.956859541451950335e+01 5.231637174242996480e+01 -5.651881892745743707e-01
1.565929796218315795e-01 -2.743433174248898609e+01 4.858008564102208737e+01 -5.647238241861565200e-01
1.623463216879373894e-01 -2.552292171638336171e+01 4.523395169248461656e+01 -5.642425824278328728e-01
1.680996637540431993e-01 -2.380438422755318584e+01 4.222548236342423422e+01 -5.637445185983849250e-01
1.738530058201490092e-01 -2.225361544602970554e+01 3.951072870730648390e+01 -5.632296891025063701e-01
1.796063478862548191e-01 -2.084946678471888859e+01 3.705266616861425888e+01 -5.626981521340449488e-01
1.853596899523606290e-01 -1.957401999629270861e+01 3.481992550460142155e+01 -5.621499676587768946e-01
1.911130320184664388e-01 -1.841201266546460857e+01 3.278578700224878162e+01 -5.615851973967171951e-01
1.968663740845722487e-01 -1.735037946554008315e+01 3.092737736219928379e+01 -5.610039048039822118e-01
2.026197161506780586e-01 -1.637788326777654291e+01 2.922502388681325414e+01 -5.604061550542128733e-01
2.083730582167838685e-01 -1.548481653883382059e+01 2.766173172065063923e+01 -5.597920150195715427e-01
2.141264002828896784e-01 -1.466275812690422597e+01 2.622275805917925240e+01 -5.591615532513194431e-01
2.198797423489954883e-01 -1.390437399831605525e+01 2.489526330099322493e+01 -5.585148399599905167e-01
2.256330844151012982e-01 -1.320325307674060333e+01 2.366802365369333216e+01 -5.578519469951717102e-01
2.313864264812071081e-01 -1.255377129170287276e+01 2.253119312542081687e+01 -5.571729478249015655e-01
2.371397685473129180e-01 -1.195097842942517552e+01 2.147610543613256695e+01 -5.564779175146998824e-01
2.428931106134187279e-01 -1.139050351761890134e+01 2.049510837601333435e+01 -5.557669327062401132e-01
2.486464526795245378e-01 -1.086847535412700338e+01 1.958142467602616676e+01 -5.550400715956812503e-01
2.543997947456304032e-01 -1.038145547130186586e+01 1.872903464953967756e+01 -5.542974139116679799e-01
2.601531368117361853e-01 -9.926381360886770366e+00 1.793257679688268880e+01 -5.535390408930145334e-01
2.659064788778420230e-01 -9.500518203041929510e+00 1.718726329799180874e+01 -5.527650352660848920e-01
2.716598209439478051e-01 -9.101417674287395343e+00 1.648880789802465685e+01 -5.519754812218859996e-01
2.774131630100536428e-01 -8.726882672325954715e+00 1.583336415157637944e+01 -5.511704643928814207e-01
2.831665050761594249e-01 -8.374937005985312766e+00 1.521747235926453357e+01 -5.503500718295424310e-01
2.889198471422652625e-01 -8.043799267351111837e+00 1.463801382601983825e+01 -5.495143919766516394e-01
2.946731892083711002e-01 -7.731860239362168485e+00 1.409217130886375280e+01 -5.486635146493678006e-01
3.004265312744768823e-01 -7.437663302512854457e+00 1.357739471518314112e+01 -5.477975310090651417e-01
3.061798733405827200e-01 -7.159887394141424721e+00 1.309137126978326648e+01 -5.469165335389620797e-01
3.119332154066885021e-01 -6.897332147204826569e+00 1.263199949753883722e+01 -5.460206160195519853e-01
3.176865574727943398e-01 -6.648904895688962036e+00 1.219736647393908413e+01 -5.451098735038439891e-01
3.234398995389001219e-01 -6.413609283432919916e+00 1.178572788270839133e+01 -5.441844022924323676e-01
3.291932416050059595e-01 -6.190535254178785252e+00 1.139549049152029347e+01 -5.432442999084012847e-01
3.349465836711117417e-01 -5.978850234706008848e+00 1.102519671642881072e+01 -5.422896650720829825e-01
3.406999257372175793e-01 -5.777791351256469810e+00 1.067351099526815794e+01 -5.413205976756770843e-01
3.464532678033233615e-01 -5.586658543136499233e+00 1.033920773172828689e+01 -5.403371987577467728e-01
3.522066098694291991e-01 -5.404808457226114804e+00 1.002116060655432150e+01 -5.393395704776061672e-01
3.579599519355349813e-01 -5.231649023806720145e+00 9.718333081521240757e+00 -5.383278160896080022e-01
3.637132940016408189e-01 -5.066634628182046463e+00 9.429769946455882845e+00 -5.373020399173479289e-01
3.694666360677466010e-01 -4.909261804458234124e+00 9.154589780395996357e+00 -5.362623473277986497e-01
3.752199781338524387e-01 -4.759065387930930591e+00 8.891978215626515691e+00 -5.352088447053864328e-01
3.809733201999582208e-01 -4.615615071098598143e+00 8.641181908338847251e+00 -5.341416394260225520e-01
3.867266622660640585e-01 -4.478512315626937301e+00 8.401503132449064992e+00 -5.330608398311025287e-01
3.924800043321698961e-01 -4.347387578832232258e+00 8.172294924040116371e+00 -5.319665552014887222e-01
3.982333463982756783e-01 -4.221897818598980834e+00 7.952956713255285415e+00 -5.308588957314824830e-01
4.039866884643815159e-01 -4.101724245238704825e+00 7.742930388508226791e+00 -5.297379725028050768e-01
4.097400305304872981e-01 -3.986570292748334410e+00 7.541696744792959706e+00 -5.286038974585919314e-01
4.154933725965931357e-01 -3.876159785334618579e+00 7.348772273843484193e+00 -5.274567833774153058e-01
4.212467146626989178e-01 -3.770235278017044056e+00 7.163706259050347747e+00 -5.262967438473451498e-01
4.270000567288047555e-01 -3.668556552673324589e+00 6.986078142508476141e+00 -5.251238932400581483e-01
4.327533987949105376e-01 -3.570899253106403659e+00 6.815495135448168540e+00 -5.239383466850043858e-01
