q_bohr^-1 w_Ry eps g_Ry
7.739716055277472487e-03 -8.209868673482798158e+02 8.225147122229695015e+03 -9.981424710683162171e-02
1.014504134563939432e-02 -4.777427338800210350e+02 4.787159403462057526e+03 -9.979670481298766327e-02
1.255036663600131441e-02 -3.120912676515093835e+02 3.127968003988344663e+03 -9.977444374545216266e-02
1.495569192636323624e-02 -2.197107786703677448e+02 2.202670328091851843e+03 -9.974746373448480086e-02
1.736101721672515807e-02 -1.629900916434149281e+02 1.634546877703311793e+03 -9.971576457472479393e-02
1.976634250708707990e-02 -1.256849443999070104e+02 1.260892546063439568e+03 -9.967934602540143296e-02
2.217166779744900174e-02 -9.984830327334783817e+01 1.002108583317446460e+03 -9.963820781057819431e-02
2.457699308781092357e-02 -8.121917886713676182e+01 8.155162437425701683e+02 -9.959234961943297382e-02
2.698231837817284540e-02 -6.734624103554959618e+01 6.765626157429354635e+02 -9.954177110657597138e-02
2.938764366853476723e-02 -5.673815934868382271e+01 5.703102971632887375e+02 -9.948647189240351907e-02
3.179296895889668906e-02 -4.844540020531621138e+01 4.872486088310311061e+02 -9.942645156348961510e-02
3.419829424925861089e-02 -4.184010829712201485e+01 4.210888523840029052e+02 -9.936170967301416468e-02
3.660361953962052578e-02 -3.649367311076735376e+01 3.675379969335772330e+02 -9.929224574122773317e-02
3.900894482998244761e-02 -3.210540346893651531e+01 3.235842719530908767e+02 -9.921805925595403308e-02
4.141427012034436944e-02 -2.845930612140393023e+01 2.870642547897239183e+02 -9.913914967312988102e-02
4.381959541070629127e-02 -2.539698989487517622e+01 2.563914743310389213e+02 -9.905551641738268021e-02
4.622492070106821310e-02 -2.280016890150004016e+01 2.303811603658994613e+02 -9.896715888264479011e-02
4.863024599143013493e-02 -2.057906632840882466e+01 2.081340941009335950e+02 -9.887407643280735070e-02
5.103557128179205676e-02 -1.866454953932960947e+01 1.889578320907097577e+02 -9.877626840241074402e-02
5.344089657215397859e-02 -1.700268485583025679e+01 1.723121660628705740e+02 -9.867373409737408008e-02
5.584622186251590042e-02 -1.555089718016184364e+01 1.577706570913265409e+02 -9.856647279576270793e-02
5.825154715287782226e-02 -1.427521581284340435e+01 1.449930492682824763e+02 -9.845448374859536167e-02
6.065687244323974409e-02 -1.314826904015116860e+01 1.337051831744082619e+02 -9.833776618068912345e-02
6.306219773360166592e-02 -1.214780356882619650e+01 1.236841663020051953e+02 -9.821631929154421570e-02
6.546752302396358081e-02 -1.125557749846817757e+01 1.147472848908928427e+02 -9.809014225626788708e-02
6.787284831432550958e-02 -1.045652288449572964e+01 1.067436160261740810e+02 -9.795923422653900203e-02
7.027817360468742447e-02 -9.738105389622285557e+00 9.954761380583912000e+01 -9.782359433161100237e-02
7.268349889504935324e-02 -9.089829742069371221e+00 9.305415593177897904e+01 -9.768322167935648837e-02
7.508882418541126813e-02 -8.502854255958901319e+00 8.717468268488569549e+01 -9.753811535735158744e-02
7.749414947577319690e-02 -7.969687767848486537e+00 8.183416139331409056e+01 -9.738827443400202566e-02
7.989947476613511179e-02 -7.483949449733519721e+00 7.696868068140996400e+01 -9.723369795970918106e-02
8.230480005649704056e-02 -7.040177020134271046e+00 7.252352948153422574e+01 -9.707438496807886674e-02
8.471012534685895545e-02 -6.633672520346459045e+00 6.845165230452421667e+01 -9.691033447717105342e-02
8.711545063722087034e-02 -6.260377476346221215e+00 6.471239884153033017e+01 -9.674154549079261312e-02
8.952077592758279911e-02 -5.916771217286610707e+00 6.127050550594747591e+01 -9.656801699983158516e-02
9.192610121794471401e-02 -5.599787568563894702e+00 5.809526101795182740e+01 -9.638974798363540708e-02
9.433142650830664278e-02 -5.306746220385326396e+00 5.515981898118858595e+01 -9.620673741143188906e-02
9.673675179866855767e-02 -5.035295889925911261e+00 5.244062858591818355e+01 -9.601898424379361197e-02
9.914207708903048644e-02 -4.783367016557846796e+00 4.991696079693017651e+01 -9.582648743414717840e-02
1.015474023793924013e-01 -4.549132205650050054e+00 4.757051215236476338e+01 -9.562924593032597065e-02
1.039527276697543301e-01 -4.330973003624668749e+00 4.538507197740820232e+01 -9.542725867616871915e-02
1.063580529601162450e-01 -4.127451872076745687e+00 4.334624167262976613e+01 -9.522052461316279914e-02
1.087633782504781738e-01 -3.937288451548204726e+00 4.144119696817692500e+01 -9.500904268213306025e-02
1.111687035408400887e-01 -3.759339380667394259e+00 3.965848578907568367e+01 -9.479281182497746594e-02
1.135740288312020174e-01 -3.592581074802802643e+00 3.798785576349445847e+01 -9.457183098644905694e-02
1.159793541215639323e-01 -3.436094978413125389e+00 3.642010650794317428e+01 -9.434609911598468290e-02
1.183846794119258611e-01 -3.289054893186793116e+00 3.494696270390872428e+01 -9.411561516958157070e-02
1.207900047022877760e-01 -3.150716054648622588e+00 3.356096468741448291e+01 -9.388037811172203484e-02
1.231953299926496909e-01 -3.020405686852856597e+00 3.225537384332776014e+01 -9.364038691734610786e-02
1.256006552830116196e-01 -2.897514810926275608e+00 3.102409055842822383e+01 -9.339564057387385321e-02
1.280059805733735345e-01 -2.781491120782270787e+00 2.986158286343022894e+01 -9.314613808327634747e-02
1.304113058637354772e-01 -2.671832770022513071e+00 2.876282420160438846e+01 -9.289187846419749706e-02
1.328166311540973921e-01 -2.568082939231240314e+00 2.772323901393564682e+01 -9.263286075412549558e-02
1.352219564444593070e-01 -2.469825073615930400e+00 2.673865503857697234e+01 -9.236908401161579574e-02
1.376272817348212496e-01 -2.376678698103144249e+00 2.580526139418564924e+01 -9.210054731856540111e-02
1.400326070251831645e-01 -2.288295731232519170e+00 2.491957165930099904e+01 -9.182724978253925530e-02
1.424379323155450794e-01 -2.204357231043221343e+00 2.407839127862714079e+01 -9.154919053914907512e-02
1.448432576059069943e-01 -2.124570516047162183e+00 2.327878872624419770e+01 -9.126636875448547459e-02
1.472485828962689369e-01 -2.048666612679580279e+00 2.251806993886864205e+01 -9.097878362760382365e-02
1.496539081866308518e-01 -1.976397987591457017e+00 2.179375560213472696e+01 -9.068643439306377230e-02
1.520592334769927667e-01 -1.907536529027868299e+00 2.110356093175998637e+01 -9.038932032352439694e-02
1.544645587673546816e-01 -1.841871746507727892e+00 2.044537764125226076e+01 -9.008744073239406680e-02
1.568698840577166242e-01 -1.779209162235397601e+00 1.981725783003349761e+01 -8.978079497653637664e-02
1.592752093480785391e-01 -1.719368871258102560e+00 1.921739956174825181e+01 -8.946938245903274245e-02
1.616805346384404540e-01 -1.662184250437397814e+00 1.864413393311741274e+01 -8.915320263200182671e-02
1.640858599288023689e-01 -1.607500798912959716e+00 1.809591345983989186e+01 -8.883225499947668136e-02
1.664911852191642838e-01 -1.555175094972624406e+00 1.757130162843772681e+01 -8.850653912034038562e-02
