q_bohr^-1 w_Ry eps g_Ry
9.614748411755533533e-03 -1.020001791442090280e+03 6.621318966160262789e+03 -1.540481279719400909e-01
1.260279052468206429e-02 -5.936029450504543092e+02 3.853794782630251575e+03 -1.540307615044604617e-01
1.559083263760859678e-02 -3.878205657653263074e+02 2.518172697941199203e+03 -1.540087246924722875e-01
1.857887475053512927e-02 -2.730598731061070339e+02 1.773323121392448911e+03 -1.539820181737070748e-01
2.156691686346166176e-02 -2.025979659570905653e+02 1.315992985646529633e+03 -1.539506427213644391e-01
2.455495897638819425e-02 -1.562552288400322311e+02 1.015207326707408583e+03 -1.539145992442845223e-01
2.754300108931471980e-02 -1.241593707332210244e+02 8.068904458830602380e+02 -1.538738887871464456e-01
3.053104320224125229e-02 -1.010171301344429082e+02 6.566866471798284692e+02 -1.538285125306958767e-01
3.351908531516778478e-02 -8.378331488716980857e+01 5.448312361986114638e+02 -1.537784717920021027e-01
3.650712742809431727e-02 -7.060530316653202476e+01 4.592998472114384185e+02 -1.537237680247451055e-01
3.949516954102084976e-02 -6.030352628821878369e+01 3.924365382074921058e+02 -1.536644028195321421e-01
4.248321165394738225e-02 -5.209802400751223672e+01 3.391790093120139886e+02 -1.536003779042433848e-01
4.547125376687390780e-02 -4.545635014384212980e+01 2.960714405002003673e+02 -1.535316951444067601e-01
4.845929587980044029e-02 -4.000496773553334862e+01 2.606894054946221786e+02 -1.534583565436019315e-01
5.144733799272697278e-02 -3.547555676351606024e+01 2.312913842550638321e+02 -1.533803642438936465e-01
5.443538010565350527e-02 -3.167135402989225312e+01 2.066002933452599848e+02 -1.532977205262951170e-01
5.742342221858003776e-02 -2.844541757397400872e+01 1.856624120194750844e+02 -1.532104278112589868e-01
6.041146433150657025e-02 -2.568622115077050339e+01 1.677538837778195955e+02 -1.531184886591980820e-01
6.339950644443310968e-02 -2.330788397343674845e+01 1.523173029115974373e+02 -1.530219057710355823e-01
