q_bohr^-1 w_Ry eps g_Ry
2.562457525605274164e-02 -2.718924408384089020e+03 2.485066586669963272e+03 -1.094105253745936812e+00
3.358810240329720281e-02 -1.582515111569145347e+03 1.446647471700392771e+03 -1.093918969566962662e+00
4.155162955054166052e-02 -1.034077853209421619e+03 9.455008106213861083e+02 -1.093682672286470536e+00
4.951515669778612516e-02 -7.282254153562895453e+02 6.660213957189212124e+02 -1.093396428458914160e+00
5.747868384503058981e-02 -5.404350913780091332e+02 4.944238503220391863e+02 -1.093060318643610973e+00
6.544221099227505445e-02 -4.169255389753041072e+02 3.815642836744008832e+02 -1.092674437346127236e+00
7.340573813951950521e-02 -3.313857977990937229e+02 3.034004739605916257e+02 -1.092238892949577433e+00
8.136926528676396986e-02 -2.697086263599121025e+02 2.470416173257332275e+02 -1.091753807635948315e+00
8.933279243400843450e-02 -2.237781850920170541e+02 2.050716859065594804e+02 -1.091219317297567715e+00
9.729631958125289914e-02 -1.886569919803749826e+02 1.729789463326297323e+02 -1.090635571438833828e+00
1.052598467284973638e-01 -1.612013405840944813e+02 1.478907673289184004e+02 -1.090002733068336394e+00
1.132233738757418146e-01 -1.393325337683762655e+02 1.279076934236697838e+02 -1.089320978581514110e+00
1.211869010229862792e-01 -1.216315320923109908e+02 1.117330459494835395e+02 -1.088590497634001064e+00
1.291504281702307300e-01 -1.071028101857713608e+02 9.845714158601606414e+01 -1.087811493005838459e+00
1.371139553174751946e-01 -9.503125973682901417e+01 8.742653430052548913e+01 -1.086984180456731286e+00
1.450774824647196592e-01 -8.489248081942498914e+01 7.816204206486298744e+01 -1.086108788572549333e+00
1.530410096119641239e-01 -7.629485368941556089e+01 7.030581367818403749e+01 -1.085185558603241507e+00
1.610045367592085885e-01 -6.894114616582601229e+01 6.358624666261822966e+01 -1.084214744292430144e+00
1.689680639064530532e-01 -6.260247460318458934e+01 5.779419352595660797e+01 -1.083196611698863387e+00
1.769315910536975178e-01 -5.710027591519165924e+01 5.276648829963925635e+01 -1.082131439009975438e+00
1.848951182009419825e-01 -5.229359289206740158e+01 4.837432821633071711e+01 -1.081019516347796694e+00
1.928586453481864194e-01 -4.806995568069062585e+01 4.451494146076525027e+01 -1.079861145567465375e+00
2.008221724954308840e-01 -4.433874228472081569e+01 4.110552017991903995e+01 -1.078656640048585968e+00
2.087856996426753486e-01 -4.102627672369266065e+01 3.807874131749191093e+01 -1.077406324479710742e+00
2.167492267899198133e-01 -3.807216389698187697e+01 3.537941751481172759e+01 -1.076110534636213867e+00
2.247127539371642779e-01 -3.542651700554855410e+01 3.296196360614429466e+01 -1.074769617151839052e+00
2.326762810844087426e-01 -3.304783749238563217e+01 3.078845936739919864e+01 -1.073383929284191796e+00
2.406398082316532072e-01 -3.090137771846951154e+01 2.882715337507485032e+01 -1.071953838674481130e+00
2.486033353788976441e-01 -2.895786472069265827e+01 2.705129681184891055e+01 -1.070479723101801062e+00
2.565668625261420810e-01 -2.719249683234605186e+01 2.543822660635753508e+01 -1.068961970232236602e+00
2.645303896733865456e-01 -2.558414847438527318e+01 2.396863879363089822e+01 -1.067400977363122561e+00
2.724939168206310103e-01 -2.411473518259695581e+01 2.262600829462637364e+01 -1.065797151162724221e+00
2.804574439678754749e-01 -2.276870300513634859e+01 2.139612234193802109e+01 -1.064150907405682744e+00
2.884209711151199396e-01 -2.153261518979850209e+01 2.026670280615162412e+01 -1.062462670704513057e+00
2.963844982623644042e-01 -2.039481553790328050e+01 1.922709857801353550e+01 -1.060732874237460210e+00
3.043480254096088689e-01 -1.934515259252401265e+01 1.826803353932595542e+01 -1.058961959473050163e+00
3.123115525568533335e-01 -1.837475241422114891e+01 1.738139893174949080e+01 -1.057150375891618310e+00
3.202750797040977981e-01 -1.747583040287349831e+01 1.656008140484070879e+01 -1.055298580704144618e+00
3.282386068513422628e-01 -1.664153468151205928e+01 1.579781990456745433e+01 -1.053407038568699550e+00
3.362021339985867274e-01 -1.586581513404292743e+01 1.508908600363269592e+01 -1.051476221304805003e+00
3.441656611458311921e-01 -1.514331340443314744e+01 1.442898338579846929e+01 -1.049506607606031983e+00
3.521291882930756012e-01 -1.446927010890331289e+01 1.381316305897547636e+01 -1.047498682751125010e+00
3.600927154403200658e-01 -1.383944625026525266e+01 1.323775154583682223e+01 -1.045452938313958580e+00
3.680562425875645305e-01 -1.325005640332873291e+01 1.269928983050628091e+01 -1.043369871872630084e+00
3.760197697348089951e-01 -1.269771169863842886e+01 1.219468125868751152e+01 -1.041249986717984743e+00
3.839832968820534598e-01 -1.217937099610020013e+01 1.172114692148580417e+01 -1.039093791561850777e+00
3.919468240292979244e-01 -1.169229893111063667e+01 1.127618731913158001e+01 -1.036901800245289218e+00
3.999103511765423891e-01 -1.123402974949415167e+01 1.085754931435483428e+01 -1.034674531447125956e+00
4.078738783237868537e-01 -1.080233603607392645e+01 1.046319755742568347e+01 -1.032412508393053985e+00
4.158374054710313183e-01 -1.039520159447720005e+01 1.009128970447713769e+01 -1.030116258565565435e+00
4.238009326182757830e-01 -1.001079786011964501e+01 9.740154864348369301e+00 -1.027786313414985164e+00
4.317644597655202476e-01 -9.647463329940583421e+00 9.408274802050740959e+00 -1.025423208071867265e+00
4.397279869127647123e-01 -9.303685575854361289e+00 9.094267503161651334e+00 -1.023027481060998500e+00
4.476915140600091769e-01 -8.978085477577939955e+00 8.796872766222453066e+00 -1.020599674017259151e+00
4.556550412072536416e-01 -8.669403367291279139e+00 8.514939542115854465e+00 -1.018140331403579513e+00
